package_name,sdk
abudhabi.healthlink,['LeanPlum']
ae.chamber.ajman,['Kontakt']
ae.clevelandclinicabudhabi.healthportal,['AltBeacon']
ae.dctabudhabi.qamguide,['AltBeacon']
ae.etisalat.smiles,"['Adjust', 'Google AdMob', 'appICE', 'AltBeacon']"
ae.gov.adnoc,"['Salesforce Marketing Cloud', 'Adjust', 'Amplitude']"
ae.gov.dha.flagship,['AltBeacon']
ae.pmo.coordinator,['Salesforce Marketing Cloud']
ae.sephora.sephorauae,"['AppsFlyer', 'Google CrashLytics', 'Batch', 'Ad4Screen']"
ae.smartv.stmobile,['Kontakt']
ae.supermart.app,['Kochava']
aero.svo.app,['AltBeacon']
agl.digital.mobile,['Demdex']
aib.ibank.android,"['pingID', 'AltBeacon']"
air.Cinepolis,['Salesforce Marketing Cloud']
air.at.porschebank.smartdriver,['AltBeacon']
air.com.aceviral.motox3m,['Kochava']
air.com.alisacasino.bingo,['Radius Networks']
air.com.bitrhymes.bingo,['Kochava']
air.com.eastsidegamestudio.PFGrassRoots,"['AppLovin (MAX and SparkLabs)', 'Kochava']"
air.com.flowplay.VegasWorld,"['Adjust', 'Kochava']"
air.com.miles22.demo.show.DSE19,['AltBeacon']
air.com.miles22.wayfinding.occcstore.android,['AltBeacon']
air.com.nbcuni.com.nbcsports.liveextra,['mParticle']
air.com.neon.games.WBT,['Kochava']
air.com.qublix.bubblerescue,['Kochava']
air.com.qublix.forestrescue,['Kochava']
air.com.qublix.forestrescuetwo,['Kochava']
air.com.qublix.frboom,['Kochava']
air.com.qublix.mahjong,['Kochava']
air.com.qublix.penguincubes,['Kochava']
air.com.qublix.reefgame,['Kochava']
air.com.qublix.tropictrouble,['Kochava']
air.com.rosettastone.mobile.CoursePlayer,"['Braze (formerly Appboy)', 'Kochava']"
air.com.salzburg.readerapp.android.sn,['AltBeacon']
air.com.sgn.cookiejam.gp,"['AppLovin (MAX and SparkLabs)', 'Adjust', 'Kochava']"
air.com.unit9.bkFrApp,['Gimbal']
air.com.vudu.air.DownloaderTablet,['Salesforce Marketing Cloud']
air.com.xpinator.akamon.slots,['Radius Networks']
air.de.sponsorads.orphans,['Kochava']
air.es.caser.caser,['Demdex']
air.hautesaintonge.montendre.mysterra,['AltBeacon']
air.ugc.fr.ugcdirect,"['Batch', 'Salesforce Marketing Cloud']"
alfa.life.mapp,['Exponea']
allo.ua,['Exponea']
amaro.amaroandroid,['mParticle']
apex.inquiry.com,['AltBeacon']
app.alansari,['Kochava']
app.banking.bankmuscat,['Estimote']
app.clicx,['AltBeacon']
app.coinmetro,['Kochava']
app.com.neinver.simply,['AltBeacon']
app.duals,['Kochava']
app.firecode.mobi,"['AppsFlyer', 'Kochava']"
app.getdriven.driver,['AltBeacon']
app.groundcontrol.phone,['AltBeacon']
app.habyte,['Kochava']
app.hurdlr.com,['Zendrive']
app.letsbewell.android,['Salesforce Marketing Cloud']
app.medicalid.free,"['Google CrashLytics', 'Huq Sourcekit']"
app.meditasyon,"['Amplitude', 'Adjust', 'LeanPlum']"
app.mylexus.lexus.com.mylexus,['Salesforce Marketing Cloud']
app.mytoyota.toyota.com.mytoyota,"['Google CrashLytics', 'AltBeacon']"
app.phound.app,['Salesforce Marketing Cloud']
app.picodi,['Salesforce Marketing Cloud']
app.plant.identification,"['AppLovin (MAX and SparkLabs)', 'Kochava']"
app.xtoys.playstore,"['Sentry', 'AltBeacon']"
apps.envisionapps.noticias360,['Kochava']
apps.midriva.user,['Kochava']
